customer_id,first_name,last_name,email,signup_date,city,country,acquisition_channel,is_business_customer
CUST00001,Tim,Wagner,tim.wagner1@example.com,2025-04-25,Hamburg,DE,organic,True
CUST00002,Tim,Wolf,tim.wolf2@example.com,2025-04-15,Vienna,AT,organic,False
CUST00003,Vahid,Weber,vahid.weber3@example.com,2025-01-31,Berlin,DE,paid_social,True
CUST00004,Nina,Wolf,nina.wolf4@example.com,2025-07-23,Graz,AT,paid_search,False
CUST00005,Anna,Fischer,anna.fischer5@example.com,2025-10-12,Zurich,CH,email,False
CUST00006,Jonas,Schmidt,jonas.schmidt6@example.com,2025-06-09,Cologne,DE,organic,True
CUST00007,Mina,Meyer,mina.meyer7@example.com,2025-12-19,Leipzig,DE,email,False
CUST00008,Elena,Wagner,elena.wagner8@example.com,2026-01-23,Berlin,DE,affiliate,False
CUST00009,Vahid,Schmidt,vahid.schmidt9@example.com,2026-01-06,Leipzig,DE,organic,False
CUST00010,Vahid,Schmidt,vahid.schmidt10@example.com,2025-10-24,Berlin,DE,paid_search,False
CUST00011,Jonas,Becker,jonas.becker11@example.com,2026-01-09,Munich,DE,organic,False
CUST00012,Nina,Fischer,nina.fischer12@example.com,2025-03-15,Leipzig,DE,paid_social,False
CUST00013,Mina,Wolf,mina.wolf13@example.com,2026-04-19,Bremen,DE,organic,False
CUST00014,Anna,Becker,anna.becker14@example.com,2025-02-27,Cologne,DE,paid_search,True
CUST00015,Nina,Klein,nina.klein15@example.com,2025-11-19,Cologne,DE,paid_search,False
CUST00016,Mina,Fischer,mina.fischer16@example.com,2026-04-15,Munich,DE,organic,False
CUST00017,Omid,Hoffmann,omid.hoffmann17@example.com,2025-09-27,Graz,AT,direct,False
CUST00018,Elena,Klein,elena.klein18@example.com,2025-08-13,Munich,DE,organic,True
CUST00019,Nina,Fischer,nina.fischer19@example.com,2025-04-23,Munich,DE,email,False
CUST00020,Laura,Neumann,laura.neumann20@example.com,2025-03-07,Bremen,DE,direct,False
CUST00021,Tim,Schmidt,tim.schmidt21@example.com,2025-01-12,Vienna,AT,email,False
CUST00022,Nina,Becker,nina.becker22@example.com,2025-10-01,Zurich,CH,organic,False
CUST00023,Tim,Wagner,tim.wagner23@example.com,2026-04-10,Hamburg,DE,direct,False
CUST00024,Nina,Wagner,nina.wagner24@example.com,2025-04-19,Basel,CH,affiliate,False
CUST00025,Jonas,Fischer,jonas.fischer25@example.com,2025-07-23,Munich,DE,paid_social,False
CUST00026,Jonas,Klein,jonas.klein26@example.com,2025-01-01,Leipzig,DE,organic,False
CUST00027,Anna,Weber,anna.weber27@example.com,2025-11-11,Cologne,DE,affiliate,False
CUST00028,David,Schmidt,david.schmidt28@example.com,2025-03-29,Graz,AT,direct,False
CUST00029,Nina,Klein,nina.klein29@example.com,2025-05-09,Munich,DE,direct,False
CUST00030,Elena,Weber,elena.weber30@example.com,2026-03-10,Cologne,DE,email,False
CUST00031,Elena,Klein,elena.klein31@example.com,2026-01-18,Düsseldorf,DE,organic,False
CUST00032,Omid,Wolf,omid.wolf32@example.com,2025-12-13,Hamburg,DE,organic,False
CUST00033,Nina,Meyer,nina.meyer33@example.com,2025-03-14,Graz,AT,organic,False
CUST00034,Elena,Weber,elena.weber34@example.com,2025-12-05,Berlin,DE,paid_search,False
CUST00035,Omid,Neumann,omid.neumann35@example.com,2025-05-16,Graz,AT,paid_social,False
CUST00036,Max,Schmidt,max.schmidt36@example.com,2026-02-21,Cologne,DE,email,False
CUST00037,Tim,Meyer,tim.meyer37@example.com,2026-02-25,Düsseldorf,DE,email,False
CUST00038,Laura,Becker,laura.becker38@example.com,2025-04-11,Hamburg,DE,affiliate,True
CUST00039,Elena,Klein,elena.klein39@example.com,2025-07-16,Cologne,DE,organic,False
